entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-04-19 08:00:00+00:00,2025-04-19 15:00:00+00:00,,85354.285815,85074.69565187593,-50.08748925484745,SL
2025-04-20 09:00:00+00:00,2025-04-20 10:00:00+00:00,,84508.86443,84116.08923622014,25.071470652981954,TP2
2025-04-20 23:00:00+00:00,2025-04-21 00:00:00+00:00,,85221.82962,85788.16924597308,43.958647444926946,TP2
2025-04-28 00:00:00+00:00,2025-04-28 03:00:00+00:00,,93373.19005,93776.07316124153,-60.14494610663844,SL
2025-04-28 06:00:00+00:00,2025-04-28 11:00:00+00:00,,94631.281995,95412.22391320644,59.07566435026516,TP2
2025-04-30 13:00:00+00:00,2025-04-30 14:00:00+00:00,,92986.06371,93549.7579603643,-76.78488652821773,SL
2025-05-01 08:00:00+00:00,2025-05-01 10:00:00+00:00,,95257.76508,96082.33550178072,62.77964533365678,TP2
2025-05-04 03:00:00+00:00,2025-05-04 05:00:00+00:00,,95674.368885,96034.56564243797,-54.82275162067702,SL
2025-05-06 22:00:00+00:00,2025-05-07 00:00:00+00:00,,96308.06997,97348.81814427896,83.1328272541603,TP2
2025-05-12 14:00:00+00:00,2025-05-12 18:00:00+00:00,,102748.590005,101364.16708402494,109.48109146163947,TP2
2025-05-13 19:00:00+00:00,2025-05-13 21:00:00+00:00,,104844.61611,104134.13427763048,-84.4927806183949,SL
2025-05-15 07:00:00+00:00,2025-05-15 08:00:00+00:00,,101729.10000500001,102277.4034280793,-70.65629082733945,SL
2025-05-15 16:00:00+00:00,2025-05-15 18:00:00+00:00,,103898.193135,103177.64933432236,-84.70309841221813,SL
2025-05-18 19:00:00+00:00,2025-05-18 21:00:00+00:00,,103832.028015,104428.67292463961,-72.92084371576863,SL
2025-05-18 23:00:00+00:00,2025-05-19 00:00:00+00:00,,106507.48713,105742.01959950327,-85.71581511452754,SL
2025-05-19 04:00:00+00:00,2025-05-19 14:00:00+00:00,,102950.56896500001,103818.96231747122,-96.66503614554637,SL
2025-05-19 19:00:00+00:00,2025-05-20 12:00:00+00:00,,105570.45885,104718.01382254678,-92.25195513649646,SL
2025-05-23 11:00:00+00:00,2025-05-23 12:00:00+00:00,,109021.81182500001,107677.75018601591,93.85780418242877,TP2
2025-05-25 22:00:00+00:00,2025-05-25 23:00:00+00:00,,109220.583,108550.6302257209,-74.49710103886366,SL
2025-05-28 14:00:00+00:00,2025-05-28 23:00:00+00:00,,107468.95864000001,108074.865311726,-69.51809791263972,SL
2025-06-01 21:00:00+00:00,2025-06-02 02:00:00+00:00,,105549.28826999999,105073.41250673911,-58.724412834455826,SL
2025-06-02 13:00:00+00:00,2025-06-02 14:00:00+00:00,,103748.1,104279.1406027332,-63.92147835871596,SL
2025-06-02 23:00:00+00:00,2025-06-03 03:00:00+00:00,,105910.918995,105332.8560593745,-66.41996463517518,SL
2025-06-05 06:00:00+00:00,2025-06-05 09:00:00+00:00,,104400.703535,104859.49392886316,-56.625728209061506,SL
2025-06-06 11:00:00+00:00,2025-06-06 15:00:00+00:00,,103979.953995,104985.11594635563,67.34891545646478,TP2
2025-06-12 03:00:00+00:00,2025-06-12 13:00:00+00:00,,107806.11997500001,106822.73623464788,63.17598244759617,TP2
2025-06-15 05:00:00+00:00,2025-06-15 06:00:00+00:00,,106126.97697,105715.25143345514,-52.40799443677722,SL
2025-06-16 23:00:00+00:00,2025-06-17 01:00:00+00:00,,106741.132735,107406.3325561821,-73.06969957866262,SL
2025-06-20 07:00:00+00:00,2025-06-20 13:00:00+00:00,,105864.64587,105372.15252573456,-58.499432095774694,SL
2025-06-20 14:00:00+00:00,2025-06-20 15:00:00+00:00,,103888.039995,104488.57982792697,-68.08998853940417,SL
2025-06-23 13:00:00+00:00,2025-06-23 14:00:00+00:00,,102405.31706999999,101648.49720910065,-81.44500827414038,SL
2025-06-29 16:00:00+00:00,2025-06-29 22:00:00+00:00,,107498.253985,107832.58056276423,-43.98683863856093,SL
2025-06-30 00:00:00+00:00,2025-06-30 01:00:00+00:00,,108768.16690499999,108374.96336804476,-48.03879518077372,SL
2025-06-30 14:00:00+00:00,2025-06-30 15:00:00+00:00,,106749.91834000002,107163.34969589187,-50.04199392400745,SL
2025-07-02 08:00:00+00:00,2025-07-02 11:00:00+00:00,,107782.85449499999,107287.98555752532,-55.77458866787689,SL
2025-07-04 13:00:00+00:00,2025-07-05 04:00:00+00:00,,107916.24488500001,108383.07882930113,-53.266855013513705,SL
2025-07-06 13:00:00+00:00,2025-07-06 18:00:00+00:00,,108826.55608499999,108533.48916388043,-39.229932950441594,SL
2025-07-08 01:00:00+00:00,2025-07-08 05:00:00+00:00,,107651.17748500001,108092.34054201777,-50.81175869230827,SL
2025-07-09 12:00:00+00:00,2025-07-09 14:00:00+00:00,,109385.435385,109023.3456902599,-43.933522552397925,SL
