timestamp,open,high,low,close,volume,datetime_utc
1744934400000,84947.92,85018.97,84735.35,84817.09,331.38823,2025-04-18 00:00:00+00:00
1744938000000,84817.09,85132.08,84817.08,84925.58,329.8579,2025-04-18 01:00:00+00:00
1744941600000,84925.59,84976.5,84800.07,84888.0,301.82105,2025-04-18 02:00:00+00:00
1744945200000,84888.0,84897.06,84724.6,84828.0,284.67684,2025-04-18 03:00:00+00:00
1744948800000,84827.99,84838.52,84598.58,84663.71,300.39751,2025-04-18 04:00:00+00:00
1744952400000,84663.7,84737.64,84514.67,84734.97,431.38662,2025-04-18 05:00:00+00:00
1744956000000,84734.98,84775.07,84592.01,84721.41,249.89268,2025-04-18 06:00:00+00:00
1744959600000,84721.41,84730.64,84413.23,84654.68,541.7865,2025-04-18 07:00:00+00:00
1744963200000,84654.68,84764.0,84610.74,84647.32,284.56217,2025-04-18 08:00:00+00:00
1744966800000,84647.32,84647.33,84519.66,84548.9,289.30805,2025-04-18 09:00:00+00:00
1744970400000,84548.89,84660.38,84485.74,84521.25,342.73799,2025-04-18 10:00:00+00:00
1744974000000,84521.25,84669.12,84472.25,84669.11,250.06555,2025-04-18 11:00:00+00:00
1744977600000,84669.11,84769.95,84566.16,84645.6,283.92186,2025-04-18 12:00:00+00:00
1744981200000,84645.6,84645.6,84478.26,84570.61,311.96897,2025-04-18 13:00:00+00:00
1744984800000,84570.61,84619.34,84368.16,84583.13,313.98928,2025-04-18 14:00:00+00:00
1744988400000,84583.13,84610.3,84338.0,84374.59,324.83689,2025-04-18 15:00:00+00:00
1744992000000,84374.6,84547.04,84303.96,84478.12,247.68307,2025-04-18 16:00:00+00:00
1744995600000,84478.12,84603.78,84391.3,84571.92,168.26965,2025-04-18 17:00:00+00:00
1744999200000,84571.91,84649.99,84505.06,84616.96,162.33185,2025-04-18 18:00:00+00:00
1745002800000,84616.96,84640.0,84512.0,84562.83,140.25037,2025-04-18 19:00:00+00:00
1745006400000,84562.83,84626.92,84466.79,84520.12,148.26203,2025-04-18 20:00:00+00:00
1745010000000,84520.12,84684.49,84486.92,84621.58,165.72264,2025-04-18 21:00:00+00:00
1745013600000,84621.58,84641.5,84425.62,84521.48,150.6171,2025-04-18 22:00:00+00:00
1745017200000,84521.49,84521.49,84342.15,84474.69,174.22835,2025-04-18 23:00:00+00:00
1745020800000,84474.7,84485.02,84364.45,84436.67,150.92673,2025-04-19 00:00:00+00:00
1745024400000,84436.66,84596.5,84424.7,84544.06,171.80102,2025-04-19 01:00:00+00:00
1745028000000,84544.07,84829.05,84491.53,84785.8,367.84088,2025-04-19 02:00:00+00:00
1745031600000,84785.8,84986.76,84779.0,84883.71,414.87445,2025-04-19 03:00:00+00:00
1745035200000,84883.72,85300.0,84883.71,85021.9,942.76304,2025-04-19 04:00:00+00:00
1745038800000,85021.89,85225.05,84990.56,85079.99,439.14401,2025-04-19 05:00:00+00:00
1745042400000,85080.0,85100.0,84889.96,84921.98,475.42537,2025-04-19 06:00:00+00:00
1745046000000,84921.99,85250.0,84921.98,85217.39,402.38216,2025-04-19 07:00:00+00:00
1745049600000,85217.38,85396.0,85115.45,85311.63,302.42907,2025-04-19 08:00:00+00:00
1745053200000,85311.63,85436.72,85220.14,85328.12,358.6547,2025-04-19 09:00:00+00:00
1745056800000,85328.12,85343.22,85147.37,85250.0,280.34551,2025-04-19 10:00:00+00:00
1745060400000,85249.99,85287.54,85118.08,85217.4,436.9476,2025-04-19 11:00:00+00:00
1745064000000,85217.4,85324.72,85193.51,85295.43,264.18234,2025-04-19 12:00:00+00:00
1745067600000,85295.44,85498.77,85201.63,85472.54,455.21546,2025-04-19 13:00:00+00:00
1745071200000,85472.53,85500.0,85357.54,85415.09,345.18822,2025-04-19 14:00:00+00:00
1745074800000,85415.1,85677.99,85070.0,85191.19,1519.86316,2025-04-19 15:00:00+00:00
1745078400000,85191.18,85330.06,84694.49,84845.93,880.38359,2025-04-19 16:00:00+00:00
1745082000000,84845.93,85253.0,84829.65,85239.92,335.55555,2025-04-19 17:00:00+00:00
1745085600000,85239.92,85320.76,85123.52,85144.64,373.22771,2025-04-19 18:00:00+00:00
1745089200000,85144.64,85200.0,85044.67,85085.55,199.95038,2025-04-19 19:00:00+00:00
1745092800000,85085.56,85265.95,85015.63,85195.85,127.37715,2025-04-19 20:00:00+00:00
1745096400000,85195.85,85367.93,85183.2,85339.53,141.13902,2025-04-19 21:00:00+00:00
1745100000000,85339.53,85355.2,85217.39,85259.86,155.47632,2025-04-19 22:00:00+00:00
1745103600000,85259.85,85259.86,85067.07,85077.01,125.48809,2025-04-19 23:00:00+00:00
1745107200000,85077.0,85226.42,85050.27,85167.99,329.29484,2025-04-20 00:00:00+00:00
1745110800000,85167.98,85320.76,85139.7,85320.15,248.37812,2025-04-20 01:00:00+00:00
1745114400000,85320.16,85320.76,85202.92,85226.44,158.61851,2025-04-20 02:00:00+00:00
1745118000000,85226.44,85266.38,85111.0,85168.81,146.25197,2025-04-20 03:00:00+00:00
1745121600000,85168.82,85248.0,85104.85,85185.13,119.07773,2025-04-20 04:00:00+00:00
1745125200000,85185.14,85195.75,85088.54,85088.54,128.65862,2025-04-20 05:00:00+00:00
1745128800000,85088.55,85160.0,84852.15,84955.42,283.26816,2025-04-20 06:00:00+00:00
1745132400000,84955.43,84955.43,84678.18,84784.01,636.69171,2025-04-20 07:00:00+00:00
1745136000000,84784.01,84785.0,84617.01,84647.3,238.80157,2025-04-20 08:00:00+00:00
1745139600000,84647.3,84647.31,84453.77,84551.14,351.30667,2025-04-20 09:00:00+00:00
1745143200000,84551.15,84551.15,84000.0,84184.03,844.03623,2025-04-20 10:00:00+00:00
1745146800000,84184.02,84259.94,83949.52,84129.83,451.2566,2025-04-20 11:00:00+00:00
1745150400000,84129.82,84488.85,84099.3,84365.56,609.96744,2025-04-20 12:00:00+00:00
1745154000000,84365.55,84465.66,84151.03,84315.21,297.68348,2025-04-20 13:00:00+00:00
1745157600000,84315.21,84664.0,84251.58,84626.16,380.00648,2025-04-20 14:00:00+00:00
1745161200000,84626.16,84630.99,84300.0,84344.66,433.36249,2025-04-20 15:00:00+00:00
1745164800000,84344.65,84622.76,84272.74,84604.11,328.38904,2025-04-20 16:00:00+00:00
1745168400000,84604.1,84623.0,84451.68,84581.98,161.24385,2025-04-20 17:00:00+00:00
1745172000000,84581.98,84636.9,84467.94,84577.78,139.94271,2025-04-20 18:00:00+00:00
1745175600000,84577.79,84664.09,84521.73,84651.61,139.48309,2025-04-20 19:00:00+00:00
1745179200000,84651.61,85250.0,84616.73,85127.58,693.63733,2025-04-20 20:00:00+00:00
1745182800000,85127.58,85244.02,84913.04,85009.27,276.81879,2025-04-20 21:00:00+00:00
1745186400000,85009.27,85031.19,84669.73,84835.28,272.57238,2025-04-20 22:00:00+00:00
1745190000000,84835.28,85298.0,84835.28,85179.24,422.92944,2025-04-20 23:00:00+00:00
1745193600000,85179.24,87010.0,85144.76,86625.68,3732.36432,2025-04-21 00:00:00+00:00
1745197200000,86625.69,87450.0,86625.68,87293.07,2940.48179,2025-04-21 01:00:00+00:00
1745200800000,87293.08,87640.0,87116.51,87350.01,1834.30291,2025-04-21 02:00:00+00:00
1745204400000,87350.0,87612.0,87156.05,87205.56,1026.18836,2025-04-21 03:00:00+00:00
1745208000000,87205.56,87390.54,87038.0,87351.14,806.69672,2025-04-21 04:00:00+00:00
1745211600000,87351.13,87738.0,87323.55,87550.0,819.12232,2025-04-21 05:00:00+00:00
1745215200000,87550.0,87695.66,87370.32,87521.73,603.57534,2025-04-21 06:00:00+00:00
1745218800000,87521.74,87621.62,87333.33,87434.78,630.34326,2025-04-21 07:00:00+00:00
1745222400000,87434.79,87699.0,87416.85,87569.28,471.87477,2025-04-21 08:00:00+00:00
1745226000000,87569.28,87795.26,87300.0,87516.05,1050.03827,2025-04-21 09:00:00+00:00
1745229600000,87516.05,87577.0,87250.0,87347.83,619.7016,2025-04-21 10:00:00+00:00
1745233200000,87347.82,87351.04,86644.29,86971.92,1164.29091,2025-04-21 11:00:00+00:00
1745236800000,86971.92,87538.46,86962.46,87038.71,871.3383,2025-04-21 12:00:00+00:00
1745240400000,87038.71,87575.21,86779.97,87028.09,1660.3259,2025-04-21 13:00:00+00:00
1745244000000,87028.08,88465.99,86943.39,88208.37,3876.26378,2025-04-21 14:00:00+00:00
1745247600000,88208.37,88329.49,87862.93,88044.8,1920.55832,2025-04-21 15:00:00+00:00
1745251200000,88044.81,88270.88,87052.18,87176.96,1565.63292,2025-04-21 16:00:00+00:00
1745254800000,87176.97,87319.69,86389.78,86847.39,2005.35325,2025-04-21 17:00:00+00:00
1745258400000,86847.38,87047.45,86637.47,86786.29,835.76683,2025-04-21 18:00:00+00:00
1745262000000,86786.29,87488.0,86712.5,87415.1,1154.45036,2025-04-21 19:00:00+00:00
1745265600000,87415.09,87440.5,87144.69,87367.92,445.85734,2025-04-21 20:00:00+00:00
1745269200000,87367.92,87385.94,86887.15,87275.0,492.56287,2025-04-21 21:00:00+00:00
1745272800000,87275.01,87282.75,86928.74,87168.08,469.52485,2025-04-21 22:00:00+00:00
1745276400000,87168.08,87625.68,87030.65,87516.23,776.75733,2025-04-21 23:00:00+00:00
1745280000000,87516.22,87731.81,87076.03,87709.85,1336.03829,2025-04-22 00:00:00+00:00
1745283600000,87709.86,88877.0,87513.87,88400.01,2420.38751,2025-04-22 01:00:00+00:00
1745287200000,88400.0,88684.43,87896.8,88169.21,1117.66736,2025-04-22 02:00:00+00:00
1745290800000,88169.21,88282.06,87826.08,88157.55,1074.60544,2025-04-22 03:00:00+00:00
1745294400000,88157.55,88368.83,88021.73,88056.79,677.78988,2025-04-22 04:00:00+00:00
1745298000000,88056.79,88413.12,87953.86,88391.27,539.11056,2025-04-22 05:00:00+00:00
1745301600000,88391.27,88459.03,88000.0,88246.46,556.23716,2025-04-22 06:00:00+00:00
1745305200000,88246.46,88486.0,88172.18,88476.83,948.01204,2025-04-22 07:00:00+00:00
1745308800000,88476.82,88688.0,88320.0,88414.33,667.61336,2025-04-22 08:00:00+00:00
1745312400000,88414.33,88600.0,88312.7,88574.34,616.35026,2025-04-22 09:00:00+00:00
1745316000000,88574.33,88596.97,88241.33,88513.71,602.16176,2025-04-22 10:00:00+00:00
1745319600000,88513.71,88701.93,88479.66,88614.1,773.70793,2025-04-22 11:00:00+00:00
1745323200000,88614.09,89220.35,88482.0,88992.7,1583.02158,2025-04-22 12:00:00+00:00
1745326800000,88992.71,90499.0,88944.01,90236.16,5026.97136,2025-04-22 13:00:00+00:00
1745330400000,90236.16,90942.15,90026.76,90797.73,3885.34174,2025-04-22 14:00:00+00:00
1745334000000,90797.73,91439.46,90383.84,90934.61,4856.8485,2025-04-22 15:00:00+00:00
1745337600000,90934.61,91041.97,90624.03,90673.1,1828.95989,2025-04-22 16:00:00+00:00
1745341200000,90673.1,91480.0,90666.66,91396.14,1899.09572,2025-04-22 17:00:00+00:00
1745344800000,91396.14,91666.0,91140.15,91504.36,1300.89104,2025-04-22 18:00:00+00:00
1745348400000,91504.36,91695.0,90905.0,91414.79,1351.76469,2025-04-22 19:00:00+00:00
1745352000000,91414.78,91509.75,91065.83,91111.72,806.20698,2025-04-22 20:00:00+00:00
1745355600000,91111.72,93888.0,91060.0,93039.99,6118.16636,2025-04-22 21:00:00+00:00
1745359200000,93039.99,93354.93,92537.93,92786.19,1634.66903,2025-04-22 22:00:00+00:00
1745362800000,92786.19,93860.85,92786.19,93442.99,2251.12861,2025-04-22 23:00:00+00:00
1745366400000,93442.99,93909.05,92784.22,92896.99,2091.24557,2025-04-23 00:00:00+00:00
1745370000000,92896.99,93496.8,92580.18,92640.0,1413.92377,2025-04-23 01:00:00+00:00
